"Huevo de gallina, pasado por agua",unidad
"Huevo de gallina, revuelto, con mantequilla",ración
"Huevo de gallina, revuelto, con mantequilla",unidad
"Huevo de gallina, yema, cruda",unidad
"Huevo de gallina, yema, desecada",unidad
"Huevo de pato, crudo",unidad
"Huevo de pavo, entero, crudo",unidad
Huevos al plato,ración
Huevos cubiertos,ración
Huevos duros rellenos gratinados,ración
Huevos escalfados con esparragos,ración
Huevos moles,ración
Huevos rellenos con aguacate,ración
Huevos rellenos,ración
Hummus,ración
Infusión,vaso
Jalea real,unidad
Jamón asado,ración
"Jamón cocido, categoría s/e",ración
"Jamón cocido, enlatado",ración
Jamón ibérico de bellota,ración
Jamón ibérico de cebo,ración
Jamon serrano,ración
Jengibre,pizca
Judía blanca,ración
Judía pinta,ración
"Judías blancas, cocidas",ración
Judías verdes con setas rehogadas,ración
Judias verdes en conserva,ración
"Judía verde, congelada, cruda",ración
"Judía verde, cruda",ración
"Judia verde, hervida",ración
"Jurel o chicharro, crudo",ración
Kebab,ración
Kefir,unidad individual
Ketchup,cucharada
Kiwi,ración
Lacón,ración
Lactosa,unidad individual
Langosta,ración
Langostino,ración
Lapas a la plancha,ración
Lasaña de verduras,ración
Lasaña de verduras vegana,ración
Lasaña,ración
"Laurel, hoja",pizca
"Leche condensada, entera, con azúcar",unidad individual
Leche de almendra,vaso
Leche de cabra,vaso
Leche de coco,vaso
Leche de oveja,vaso
"Leche, desnatada, pasteurizada",vaso
"Leche de vaca, desnatada, condensada, con azúcar",unidad individual
"Leche de vaca, entera",vaso
"Leche en polvo, semidesnatada",unidad individual
"Leche fermentada, bifidobacterium, entera, natural",vaso
Leche materna,vaso
Leche merengada,vaso
"Leche, semidesnatada, pasteurizada",vaso
Lechuga,ración
Lecitina de soja,ración
"Lengua, de buey, cruda",ración
"Lengua de cerdo, cruda",ración
"Lengua de cordero, cruda",ración
"Lengua, de ternera, cruda",ración
Lenguado a la plancha con puré de brocoli y espaguetis de zanahoria,ración
"Lenguado, al horno",ración
Lenguado con champiñones y jengibre,ración
"Lenguado, frito",ración
"Lenguado, plancha",ración
Lenguado,ración
"Lenteja, en conserva",ración
"Lenteja, hervida",ración
Lentejas con arroz,ración
Lentejas con verduras,ración
"Lenteja, seca, cruda",ración
Lentejas estofadas con chorizo,ración
Lentejas estofadas con verduras y arroz integral,ración
Licor apricot,vaso
Licor benedictine,vaso
Licor curaçao,vaso
Licor de café,vaso
Licor de crema 15-17% vol.,vaso
Licores de frutas,vaso
"Liebre, entera, cruda",ración
"Lija, cruda",ración
"Lima, cruda",ración
Limonada,vaso
"Litchi, crudo",ración
Lombarda,ración
Lomo embuchado,ración
Longaniza,ración
Lubina al horno,ración
Lubina,ración
"Lucio, al horno",ración
Macarrones a la boloñesa,ración
Macarrones con chorizo y queso gratinados (cuanto queso),ración
Macarrones con tomate y atún,ración
Macarrones de legumbre con verduras,ración
Macarrones de lenteja con verduras y almendras,ración
"Macedonia de frutas, conserva en su jugo",ración
Machanga,ración
Magdalena,ración
"Maíz, en mazorca, congelado, crudo",cucharada
"Maíz, en mazorca, crudo",cucharada
"Mandarina, congelada",ración
Mandarina,ración
"Mango, crudo",ración
Manteca,ración
"Mantequilla, baja en calorías",ración
Mantequilla salada,ración
Manzana,ración
"Margarina, baja en calorías",ración
Margarina de maíz,ración
"Masa de hojaldre, cruda",ración
Masa de pizza casera con harina integral,ración
Masa de pizza casera,ración
"Mayonesa, aceite de oliva",cucharada sopera
"Mayonesa, aceite de soja",cucharada sopera
"Mayonesa, baja en calorías",ración
Mayonesa con aceite de girasol,ración
"Mejillón, en conserva, al natural",ración
"Mejillón, en escabeche",ración
Mejillones a la marinera,ración
"Mejillón, hervido",ración
Mejillon,ración
"Melocotón, desecado",cucharada
Melocotón en almíbar,ración
Melocotón,ración
Melón,ración
"Membrillo, crudo",ración
"Menestra de verduras, congelada",ración
Menestra,ración
Menestra vegetariana,ración
"Menta, fresca",pizca
Merluza con almejas,ración
Merluza con champiñones y gambas,ración
"Merluza, congelada, cruda",ración
Merluza en papillote con calabacín,ración
Merluza en salsa verde,ración
Merluza fresca,ración
Merluza hornezada,ración
"Merluza, rebozada, frita",ración
Mermelada de albaricoque,cucharada
"Mermelada de albaricoque y melocotón, baja en calorías",cucharada
Mermelada de ciruela,cucharada
Mermelada de frambuesa,cucharada
"Mermelada de fresa, baja en calorías",cucharada
Mermelada de fresa,cucharada
Mermelada de grosella roja,cucharada
Mermelada de mora,cucharada
Mermelada de naranja,cucharada
"Mero o cherne, crudo",ración
"Mero o cherne, plancha",ración
"Mero, plancha",ración
Miel,cucharada
Mijo,ración
Miso,ración
Mojo picon,ración
Mojo picón rojo,ración
Mojo verde,ración
Molleja de cordero,ración
"Morcilla, frita",ración
Morcilla,ración
Mortadela,ración
Mostaza,pizca
Mousse de chocolate,ración
Mousse de chocolate,vaso
Mousse de gofio,ración
"Mousse de queso fresco, con frutas",unidad individual
"Mousse de queso fresco, desnatado, azucarado",unidad individual
"Mousse de queso fresco, desnatado, con frutas",unidad individual
"Mousse de yogur, con frutas",unidad individual
"Mousse de yogur, natural",unidad individual
Muesli,ración
"Mújol, al horno",ración
"Mújol, crudo",ración
Muslos de pollo con patatas al horno,ración
"Nabo, pelado, crudo",ración
"Napolitana, rellena con crema de cacao",ración
Naranja,ración
"Nata, líquida, para cocinar, 18% de grasa",ración
Nata montada,ración
Natillas sabor vainilla,ración
Natillas sabor vainilla,unidad individual
Nécora,ración
"Néctar de albaricoque, envasado",vaso
Néctar de ciruela,vaso
"Néctar de frutas exóticas, envasado",vaso
"Néctar de mango, envasado",vaso
"Néctar de maracuyá, envasado",vaso
Néctar de melocotón,vaso
"Néctar de naranja, envasado",vaso
"Néctar de pera, envasado",vaso
Néctar de piña,vaso
Néctar de pomelo,vaso
Nectarina,ración
"Níscalo, crudo",ración
"Níspero, con piel, crudo",ración
"Nispero, conserva en su jugo",ración
"Nispero, sin piel , congelado",ración
"Nuez, cruda, con cáscara",puñado
Nuez moscada,pizca
Nuez,puñado
"Oca, sin piel, asada",ración
"Orégano, seco",pizca
"Ostra, cruda",ración
Paella marinera,ración
Paella,ración
Paella valenciana,ración
Palmera,ración
"Palmito, en conserva",ración
"Palometa, cruda",ración
"Palomitas de maíz, sin aceite, sin sal",ración
"Pan blanco, de barra",ración
"Pan blanco, de barra, sin sal",ración
"Pan blanco, de molde, tostado",ración
"Pan blanco, frito",ración
"Pan blanco, tipo ""baguette""",ración
"Pan blanco, tostado",ración
"Pan blanco, tostado sin sal",ración
"Panceta, frita",ración
Panceta frita,ración
Pan de avena,ración
Pan de cebada,ración
Pan de centeno,ración
Pan de leche,ración
Pan de maíz,ración
"Panga, cruda",ración
